PLAYER,TEAM,YEAR,RES,ORD,P,SP,AB,R,H,B,2B,3B,HR,XBH,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,ISOP,OPS,GPA,PN,avLI,RE24,WPA
김재환,두산,2019.0,7.0,4,LF,9.0,32.0,5.0,9.0,5.0,1.0,0.0,3.0,4.0,19.0,12.0,0.0,0.0,5.0,0.0,0.0,12.0,2.0,0.0,1.0,0.211,0.407,0.45,0.239,0.857,0.296,16.778,1.134,0.471,0.04
김재환,두산,2019.0,5.0,4,LF,9.0,32.0,3.0,9.0,7.0,1.0,1.0,0.0,2.0,12.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2.0,0.266,0.361,0.524,0.258,0.885,0.293,15.333,0.859,0.007,0.007
김재환,두산,2019.0,6.0,4,LF,9.0,32.0,9.0,10.0,7.0,1.0,0.0,2.0,3.0,17.0,9.0,1.0,0.0,8.0,0.0,0.0,7.0,1.0,0.0,1.0,0.281,0.37,0.469,0.189,0.839,0.284,16.778,0.954,0.603,0.052
김재환,두산,2019.0,5.0,4,LF,9.0,36.0,9.0,14.0,9.0,2.0,0.0,3.0,5.0,25.0,7.0,0.0,0.0,5.0,0.0,1.0,9.0,1.0,0.0,0.0,0.305,0.396,0.546,0.241,0.942,0.315,15.778,0.769,0.544,0.055
김재환,두산,2019.0,6.0,4,LF,9.0,36.0,4.0,11.0,10.0,0.0,1.0,0.0,1.0,13.0,7.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.313,0.392,0.529,0.215,0.92,0.309,13.778,1.039,-0.087,0.015
김재환,두산,2019.0,6.0,4,LF,9.0,28.0,7.0,7.0,5.0,0.0,1.0,1.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,5.0,1.0,0.0,0.0,0.301,0.375,0.493,0.192,0.868,0.292,14.333,1.022,0.074,0.025
김재환,두산,2019.0,4.0,4,LF,9.0,34.0,1.0,9.0,7.0,1.0,0.0,1.0,2.0,13.0,7.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,2.0,0.298,0.378,0.484,0.187,0.862,0.291,16.444,1.259,-0.193,0.028
김재환,두산,2019.0,4.0,4,LF,9.0,35.0,7.0,12.0,9.0,1.0,0.0,2.0,3.0,19.0,9.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,1.0,0.294,0.373,0.479,0.185,0.852,0.288,15.0,0.833,0.381,0.043
김재환,두산,2019.0,5.0,4,LF,8.0,32.0,3.0,12.0,11.0,1.0,0.0,0.0,1.0,13.0,5.0,0.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,1.0,0.295,0.372,0.475,0.18,0.847,0.286,15.889,1.2,0.082,-0.001
김재환,두산,2019.0,5.0,4,LF,9.0,30.0,3.0,10.0,9.0,1.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,0.304,0.38,0.47,0.165,0.85,0.288,17.444,0.914,0.227,0.011
김재환,두산,2019.0,4.0,4,LF,9.0,33.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.295,0.375,0.447,0.152,0.822,0.28,15.444,1.148,-0.35,-0.009
김재환,두산,2019.0,5.0,4,LF,9.0,37.0,6.0,8.0,4.0,2.0,0.0,2.0,4.0,16.0,5.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.282,0.364,0.432,0.15,0.796,0.272,14.889,1.171,-0.216,-0.006
김재환,두산,2019.0,4.0,4,LF,8.0,35.0,3.0,8.0,6.0,0.0,1.0,1.0,2.0,13.0,10.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.28,0.36,0.434,0.154,0.794,0.27,13.667,1.082,0.408,0.029
김재환,두산,2019.0,6.0,4,LF,8.0,30.0,5.0,11.0,8.0,3.0,0.0,0.0,3.0,14.0,4.0,1.0,0.0,2.0,1.0,0.0,9.0,1.0,0.0,2.0,0.279,0.356,0.431,0.153,0.787,0.268,12.333,0.763,0.078,-0.012
김재환,두산,2019.0,6.0,4,LF,7.0,27.0,8.0,10.0,4.0,5.0,1.0,0.0,6.0,17.0,6.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.286,0.363,0.442,0.156,0.804,0.274,10.111,1.176,0.627,0.012
김재환,두산,2019.0,5.0,4,LF,8.0,31.0,5.0,10.0,6.0,3.0,0.0,1.0,4.0,16.0,4.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.286,0.362,0.444,0.158,0.807,0.274,13.667,0.938,0.606,0.052
김재환,두산,2019.0,7.0,5,LF,9.0,33.0,3.0,7.0,6.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.282,0.368,0.42,0.138,0.788,0.27,16.111,1.096,-0.407,-0.019
김상수,삼성,2019.0,4.0,1,2B,9.0,31.0,6.0,10.0,9.0,1.0,0.0,0.0,1.0,11.0,7.0,4.0,0.0,7.0,2.0,0.0,5.0,2.0,0.0,1.0,0.367,0.526,0.37,0.004,0.896,0.329,17.556,1.227,0.471,0.053
김상수,삼성,2019.0,4.0,1,2B,9.0,37.0,5.0,8.0,7.0,1.0,0.0,0.0,1.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,6.0,2.0,0.0,0.0,0.324,0.45,0.346,0.022,0.796,0.289,18.667,1.096,-0.348,-0.02
김상수,삼성,2019.0,3.0,2,2B,9.0,41.0,6.0,12.0,7.0,5.0,0.0,0.0,5.0,17.0,6.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,2.0,1.0,0.262,0.367,0.293,0.032,0.66,0.238,19.889,1.233,-0.303,-0.087
김상수,삼성,2019.0,2.0,2,2B,9.0,34.0,4.0,6.0,5.0,1.0,0.0,0.0,1.0,7.0,2.0,2.0,0.0,3.0,2.0,0.0,9.0,1.0,1.0,0.0,0.271,0.36,0.327,0.056,0.687,0.244,17.333,0.913,-0.538,-0.106
김상수,삼성,2019.0,5.0,2,2B,9.0,35.0,7.0,6.0,2.0,1.0,0.0,3.0,4.0,16.0,6.0,2.0,0.0,5.0,0.0,1.0,6.0,0.0,1.0,0.0,0.247,0.338,0.321,0.075,0.66,0.233,16.778,0.791,0.21,0.037
김상수,삼성,2019.0,5.0,2,2B,9.0,37.0,5.0,11.0,10.0,1.0,0.0,0.0,1.0,12.0,5.0,1.0,0.0,1.0,1.0,0.0,9.0,2.0,2.0,1.0,0.253,0.342,0.351,0.099,0.694,0.242,16.111,1.148,-0.369,-0.069
김상수,삼성,2019.0,5.0,2,2B,7.0,27.0,4.0,10.0,6.0,3.0,1.0,0.0,4.0,15.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.265,0.349,0.362,0.096,0.71,0.247,14.556,1.21,-0.004,0.001
김상수,삼성,2019.0,4.0,1,2B,9.0,35.0,8.0,14.0,11.0,0.0,1.0,2.0,3.0,22.0,5.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.281,0.366,0.398,0.116,0.763,0.264,15.889,0.986,0.444,0.05
김상수,삼성,2019.0,3.0,1,2B,8.0,35.0,6.0,9.0,7.0,2.0,0.0,0.0,2.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.286,0.366,0.4,0.114,0.767,0.265,15.222,0.902,-0.174,-0.016
김상수,삼성,2019.0,3.0,1,2B,9.0,35.0,7.0,10.0,9.0,1.0,0.0,0.0,1.0,11.0,2.0,2.0,0.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.287,0.364,0.395,0.107,0.759,0.262,19.222,0.787,0.111,0.016
김상수,삼성,2019.0,4.0,1,2B,9.0,39.0,7.0,11.0,9.0,2.0,0.0,0.0,2.0,13.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.286,0.363,0.385,0.099,0.748,0.26,18.111,1.366,-0.394,-0.023
김상수,삼성,2019.0,4.0,1,2B,8.0,33.0,5.0,13.0,10.0,2.0,1.0,0.0,3.0,17.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.292,0.367,0.392,0.101,0.76,0.263,13.667,0.884,-0.192,-0.012
김상수,삼성,2019.0,1.0,1,2B,9.0,32.0,2.0,8.0,7.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,1.0,0.296,0.371,0.394,0.099,0.765,0.265,21.222,1.12,-0.278,-0.029
김상수,삼성,2019.0,3.0,1,2B,8.0,25.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.29,0.37,0.384,0.095,0.754,0.262,15.222,0.679,-0.613,-0.038
김상수,삼성,2019.0,3.0,1,2B,8.0,29.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.284,0.371,0.374,0.089,0.744,0.26,18.778,1.051,0.061,-0.004
김상수,삼성,2019.0,2.0,9,PH,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.276,0.363,0.361,0.085,0.724,0.254,7.111,1.589,-0.602,-0.06
김하성,키움,2019.0,4.0,2,SS,9.0,35.0,6.0,10.0,7.0,2.0,0.0,1.0,3.0,15.0,7.0,2.0,0.0,6.0,1.0,1.0,9.0,0.0,0.0,0.0,0.323,0.425,0.56,0.238,0.986,0.331,21.0,1.381,0.467,0.068
김하성,키움,2019.0,6.0,3,SS,9.0,41.0,8.0,16.0,12.0,4.0,0.0,0.0,4.0,20.0,5.0,4.0,0.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.347,0.434,0.466,0.119,0.899,0.312,20.333,1.071,0.294,0.04
김하성,키움,2019.0,5.0,2,3B,9.0,37.0,8.0,13.0,8.0,4.0,0.0,1.0,5.0,20.0,10.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.347,0.432,0.464,0.117,0.896,0.311,17.0,1.072,0.469,0.052
김하성,키움,2019.0,5.0,2,SS,9.0,35.0,13.0,11.0,7.0,3.0,0.0,1.0,4.0,17.0,5.0,1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,0.0,0.338,0.419,0.465,0.127,0.885,0.305,19.889,1.067,0.389,0.049
김하성,키움,2019.0,3.0,2,SS,9.0,35.0,7.0,13.0,8.0,3.0,0.0,2.0,5.0,22.0,5.0,3.0,1.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.336,0.429,0.483,0.148,0.913,0.314,18.222,1.003,0.55,0.025
김하성,키움,2019.0,5.0,3,SS,9.0,37.0,12.0,13.0,8.0,1.0,1.0,3.0,5.0,25.0,13.0,1.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,1.0,0.338,0.423,0.511,0.173,0.933,0.318,16.667,0.863,0.552,0.032
김하성,키움,2019.0,3.0,2,SS,9.0,32.0,6.0,10.0,6.0,4.0,0.0,0.0,4.0,14.0,6.0,3.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,2.0,0.336,0.416,0.52,0.184,0.936,0.317,16.444,1.212,0.391,0.064
김하성,키움,2019.0,5.0,2,3B,9.0,35.0,6.0,9.0,2.0,5.0,0.0,2.0,7.0,20.0,9.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.0,1.0,0.328,0.41,0.522,0.194,0.931,0.315,16.222,1.082,0.264,0.022
김하성,키움,2019.0,7.0,2,SS,9.0,35.0,8.0,9.0,6.0,1.0,0.0,2.0,3.0,16.0,4.0,3.0,1.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.319,0.402,0.524,0.205,0.927,0.312,17.111,0.862,0.054,0.004
김하성,키움,2019.0,5.0,2,SS,8.0,31.0,4.0,8.0,5.0,1.0,0.0,2.0,3.0,15.0,6.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.315,0.401,0.519,0.204,0.92,0.31,15.333,1.176,0.378,0.079
