RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
5.0,3,RF,9.0,35.0,7.0,16.0,4.0,0.0,2.0,26.0,7.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.358,0.371,0.796,1.168,16.222,1.039,0.587,0.069,박건우,두산,2021.0,10.0,0.366,0.75,0.438,6.0
5.0,3,RF,9.0,31.0,8.0,11.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.421,0.471,0.633,1.103,14.0,0.961,-0.048,0.015,박건우,두산,2021.0,10.0,0.37,1.25,0.212,1.0
5.0,3,CF,9.0,25.0,1.0,5.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,2.0,0.0,3.0,3.0,0.0,2.0,0.382,0.454,0.523,0.977,14.778,1.081,-0.377,-0.06,박건우,두산,2021.0,4.0,0.335,1.667,0.141,1.0
5.0,3,CF,8.0,36.0,7.0,14.0,4.0,0.0,0.0,18.0,6.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.366,0.433,0.494,0.927,15.333,1.016,0.268,-0.0,박건우,두산,2021.0,10.0,0.318,0.167,0.128,4.0
3.0,3,CF,9.0,32.0,4.0,6.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.351,0.419,0.463,0.882,15.889,1.106,0.057,-0.006,박건우,두산,2021.0,6.0,0.304,1.0,0.112,0.0
2.0,3,CF,8.0,34.0,4.0,9.0,4.0,0.0,0.0,13.0,4.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.333,0.408,0.439,0.847,16.556,0.891,0.287,0.009,박건우,두산,2021.0,5.0,0.293,0.75,0.105,4.0
4.0,3,RF,9.0,35.0,5.0,13.0,3.0,0.0,0.0,16.0,7.0,2.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,1.0,0.336,0.406,0.437,0.844,14.444,1.097,0.247,-0.006,박건우,두산,2021.0,10.0,0.292,0.333,0.101,3.0
6.0,3,LF,9.0,30.0,2.0,8.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,0.268,0.357,0.279,0.636,18.333,1.298,-0.071,-0.012,김현수,LG,2021.0,7.0,0.23,1.75,0.011,1.0
5.0,3,LF,9.0,34.0,4.0,9.0,1.0,0.0,3.0,19.0,7.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.263,0.373,0.384,0.757,18.556,1.053,0.367,0.046,김현수,LG,2021.0,5.0,0.264,1.0,0.12,4.0
4.0,3,LF,9.0,34.0,3.0,13.0,3.0,0.0,2.0,22.0,10.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.283,0.382,0.466,0.848,16.0,1.058,0.63,0.119,김현수,LG,2021.0,8.0,0.289,1.0,0.183,5.0
